Affiliation,Percentage of authors,Authors
ACI Worldwide,0.01%,1
ACI WorldWide/MessagingDirect,0.02%,2
ACIRI,0.02%,3
ACIRI/ICSI,0.01%,1
Acklio,0.05%,6
ACLU,0.01%,1
ACME Corporation,0.01%,1
Acme Packet,0.05%,7
AcmePacket,0.01%,1
ACONET,0.01%,1
Acoustra Productions,0.01%,1
Acquia,0.01%,1
Acreo,0.01%,1
Acreo AB,0.03%,4
Acronis,0.01%,1
ACS,0.01%,1
Actalis S.p.A.,0.01%,1
Actelis Networks,0.01%,1
Actility,0.01%,1
ActiveCampaign,0.01%,1
Activerse,0.02%,2
Activia,0.01%,1
ActivIdentity,0.02%,2
ActivIdentity Corp.,0.01%,1
Adacel Technologies,0.01%,1
ADAE,0.02%,2
Adaptec,0.02%,2
ADARA,0.01%,1
Adara Networks,0.01%,1
Adax,0.01%,1
ADC Telecommunications,0.02%,3
AddTrust,0.01%,1
Adero,0.01%,1
Adiscon,0.01%,1
Adobe,0.05%,6
Adobe Systems,0.05%,7
Adobe Systems Incorporated,0.04%,5
ADTRAN,0.03%,4
ADVA,0.02%,2
ADVA Optical,0.02%,3
ADVA Optical Networking,0.03%,4
Advanced Computer Communications,0.03%,4
Advanced Network & Services,0.01%,1
Advanced Networks & Services,0.01%,1
"Advanced Security Division, Internet Initiative Japan",0.01%,1
Advanced Software Technologies,0.01%,1
Advertising Digital Identification,0.01%,1
Advista Technologies,0.01%,1
Aegis BMD Program Office,0.01%,1
Aegis Data Security,0.01%,1
AEPROVI,0.01%,1
Aerohive Networks,0.01%,1
Aerospace,0.01%,1
Aerospace Corporation,0.01%,1
Affilias,0.01%,1
Affinia,0.01%,1
Affirmed Networks,0.02%,2
Afilias,0.05%,7
Afilias Canada,0.05%,7
Afilias Limited,0.01%,1
Afilias Technologies Limited,0.01%,1
Afilias USA,0.01%,1
AFNIC,0.03%,4
African Network Information Centre (AFRINIC),0.01%,1
AFRINIC,0.01%,1
AG Communication Systems,0.02%,2
AG Projects,0.01%,1
Agari,0.02%,2
Agere Systems,0.02%,2
AGH Univ. of Science and Technology,0.01%,1
AGH University,0.02%,2
AGH University of Science and,0.02%,2
Agilent,0.02%,2
Agilent Technologies,0.04%,5
Agilicus,0.01%,1
Agora Lab,0.02%,3
Agranat Systems,0.01%,1
Agricultural Bank of China,0.01%,1
AIC Laboratories,0.01%,1
AIC Systems Laboratory,0.01%,1
"AICS, RIKEN",0.01%,1
AimQuest Corp.,0.01%,1
AimValley,0.01%,1
Airbus,0.02%,2
Airbus Defence & Space,0.01%,1
Airbus Defence and Space,0.02%,3
Airbus Defence and Space CyberSecurity,0.01%,1
Airespace,0.04%,5
AirSpayce,0.01%,1
Airtel,0.02%,2
Airtel India,0.01%,1
Airtel Movil,0.01%,1
Airtouch Communications,0.02%,2
Airvana,0.01%,1
AIST,0.02%,3
AIST Japan,0.01%,1
Aiven,0.01%,1
Ajou University,0.02%,3
Akamai,0.17%,23
Akamai Technologies,0.19%,25
Akamai Technologies B.V.,0.01%,1
AKAYLA,0.02%,3
AKC Computer Services Corp.,0.01%,1
Aki Yokote,0.01%,1
Akira Systems Private Limited,0.01%,1
Aladdin,0.01%,1
Aladdin Enterprises,0.01%,1
Alantec,0.01%,1
Alaxala Corp.,0.02%,2
Alaxala Networks Co.,0.01%,1
Alaxala Networks Corp.,0.06%,8
ALAXALA Networks Corporation,0.01%,1
Albstadt-Sigmaringen University,0.01%,1
Alcatel,0.66%,87
Alcatel Bell,0.02%,3
Alcatel Lucent,0.09%,12
Alcatel Networks Corporation,0.01%,1
Alcatel Shanghai Bell,0.05%,6
Alcatel Space,0.02%,2
Alcatel USA,0.07%,9
Alcatel-Lu,0.01%,1
Alcatel-Lucent,0.94%,125
Alcatel-Lucent Bell,0.01%,1
Alcatel-Lucent Bell Labs,0.11%,15
Alcatel-Lucent Bell Labs France,0.02%,3
Alcatel-Lucent Shanghai Bell,0.02%,2
"Alcatel-Lucent, Bell Labs",0.01%,1
Alcatel-Lucent-Sbell,0.01%,1
Alef Edge,0.01%,1
AlefEdge,0.01%,1
Alert Logic,0.02%,2
Alexander TEI of Thessaloniki,0.01%,1
Algenta,0.01%,1
Algeria Telecom,0.01%,1
Algorand,0.01%,1
Algorand and ENS,0.01%,1
Algorand and University of Waterloo,0.01%,1
Algorand Foundation,0.01%,1
Algorithmic Research,0.01%,1
Aliababa Group,0.02%,2
Alibaba,0.14%,19
Alibaba Cloud,0.03%,4
Alibaba Cloud Computing Co.,0.01%,1
Alibaba Co.,0.01%,1
Alibaba Group,0.13%,17
Alibaba Group Holding,0.02%,2
Alibaba-,0.02%,3
Alice's Registry,0.01%,1
Alis Technologies,0.01%,1
All About IT,0.01%,1
All Play,0.01%,1
Allegro Networks,0.01%,1
Allied Telesis Labs,0.01%,1
Allot Communications,0.01%,1
Allot Networks,0.01%,1
Alpen-Adria Universitat Klagenfurt,0.01%,1
Alpen-Adria University Klagenfurt,0.02%,3
Alphabet,0.02%,2
Alphion,0.01%,1
Alphion Corp.,0.01%,1
Alt-N Technologies,0.02%,2
AltaVista,0.01%,1
AltaVista Internet,0.01%,1
AltaVista Internet Software,0.02%,2
Alten,0.01%,1
Alteon Web Systems,0.01%,1
Altibox,0.01%,1
Altice Labs,0.01%,1
Altiostar,0.01%,1
Altmode Networks,0.01%,1
Altran,0.01%,1
Altran Research,0.01%,1
ALU,0.01%,1
Alvestrand Data,0.01%,1
AM Network Information Center,0.01%,1
Amaranth Networks,0.01%,1
Amazon,0.10%,13
Amazon Lab126,0.01%,1
Amazon Web Services,0.08%,11
Amber Networks,0.05%,6
AMD,0.01%,1
Amdocs,0.01%,1
America On-Line,0.01%,1
America Online,0.01%,1
AmericaFree.TV,0.01%,1
American Civil Liberties Union,0.01%,1
American Registry for Internet,0.01%,1
American Registry for Internet Numbers,0.02%,3
American University,0.01%,1
Ameritech,0.01%,1
Amour Eternal,0.01%,1
AMS,0.02%,3
AMS-IX,0.02%,2
AMS-IX B.V.,0.01%,1
Amsterdam Internet Exchange,0.02%,2
AMT Group,0.01%,1
Anagran,0.01%,1
Anagran Inc.,0.02%,2
Analog Devices,0.02%,2
Anand Oswal,0.01%,1
Anapaya Systems,0.01%,1
ANC,0.02%,2
and H.Y. Yeom,0.01%,1
ANDA Networks,0.02%,2
Andiamo Systems,0.01%,1
Andrew,0.02%,2
Andrew Corporation,0.02%,3
Andrey Lyamin,0.01%,1
ANF Consulting,0.01%,1
Angelos D. Keromytis,0.01%,1
ANL,0.03%,4
Anonymous,0.01%,1
Anoop Ghanwani,0.01%,1
Anritsu,0.01%,1
ANS,0.02%,3
Ansaldo Trasporti e Sistemi,0.01%,1
Ansible Systems,0.01%,1
AnsuR Technologies,0.01%,1
Ant Group,0.02%,2
AntGroup,0.01%,1
Antisip,0.01%,1
Antiy Labs,0.01%,1
Anyang University,0.01%,1
AnyWi,0.01%,1
AOL,0.03%,4
AOL Time Warner,0.02%,2
"AOL,",0.02%,2
Aoyama Gakuin University,0.01%,1
APC,0.01%,1
"APL, Johns Hopkins University",0.01%,1
APMMON MIB Apptitude,0.01%,1
APNIC,0.08%,10
APNIC P/L.,0.01%,1
APNIC Pty,0.02%,2
Apogee,0.01%,1
Apparent Networks,0.01%,1
AppGate Network Security AB,0.01%,1
Apple,0.51%,67
Apple Computer,0.09%,12
Apple Computer Corp.,0.01%,1
APPLIC,0.01%,1
Applied Communication Sciences,0.03%,4
Applied Research,0.01%,1
AppliedTheory Corporation,0.01%,1
Apstra,0.02%,2
APT,0.04%,5
APT Licensing,0.01%,1
Ar. Mailyan,0.01%,1
Araneus Information Systems Oy,0.01%,1
Arastra,0.02%,3
Aravox Technologies,0.01%,1
Arbor Networks,0.06%,8
Arbortext,0.01%,1
Arccus,0.01%,1
Arch Rock,0.01%,1
Arch Rock Corp,0.02%,2
Arch Rock Corporation,0.02%,2
Archana P.V.,0.01%,1
Arcode Corporation,0.01%,1
"Ares, Inria",0.01%,1
Argon Networks,0.02%,3
Argonne National,0.01%,1
Argonne National Laboratory,0.01%,1
Aria Networks,0.01%,1
Ariadne,0.01%,1
Ariadne Internet Services,0.01%,1
Arian Durresi,0.01%,1
Aricent,0.04%,5
Aricent Group,0.01%,1
Ariga.io,0.01%,1
ariksh software,0.01%,1
ARIN,0.05%,6
ARIN AC,0.01%,1
Arista,0.05%,6
Arista Networks,0.19%,25
Arktan,0.01%,1
ARM,0.08%,10
Arm Limited,0.11%,14
Armenian Computer Center,0.01%,1
Armory Technologies,0.02%,2
ARO,0.01%,1
ARO/NCSU,0.01%,1
ARPA2.net,0.01%,1
Arrcus,0.12%,16
Arrcus & IIJ,0.01%,1
Arrcus & Internet Initiative Japan,0.01%,1
Arrcus Networks,0.01%,1
"Arrcus, Inc. & Internet Initiative Japan",0.01%,1
Arris,0.01%,1
Arrowpoint,0.01%,1
ArrowPoint Communications,0.01%,1
Artel,0.01%,1
ARTICLE 19,0.04%,5
Article19,0.01%,1
Arts Centre Vooruit,0.01%,1
Aruba,0.01%,1
Aruba Networks,0.05%,6
"Aruba Networks, HPE",0.05%,7
Aruba Wireless Networks,0.01%,1
"Aruba, Hewlett Packard Enterprise",0.02%,3
Aruba-HPE,0.01%,1
ARX,0.01%,1
AS207960 Cyfyngedig,0.01%,1
AS210036,0.01%,1
AS58280.net,0.01%,1
Ascend,0.01%,1
Ascend Communications,0.08%,10
Ascension,0.02%,2
Ascom Timeplex,0.01%,1
Ashwin Palekar,0.01%,1
Asia Global Crossing,0.01%,1
Asia Pacific Network Information,0.01%,1
Asia Pacific Network Information Centre,0.02%,3
Asia-Pacific Network Information Centre,0.02%,2
Asiainfo,0.01%,1
Asian School of Cyber Laws,0.02%,2
ASMUS,0.01%,1
ASMUS Inc.,0.01%,1
Aspect Software,0.01%,1
"ASRC Space And Defense, NASA GSFC",0.01%,1
ASSA ABLOY,0.01%,1
Assistant Professor,0.01%,1
Associate Professor,0.01%,1
Association for Progressive Communications,0.01%,1
ASTA Ventures,0.01%,1
Astart Technologies,0.01%,1
ASTRI,0.01%,1
Astute Technology,0.01%,1
At Home Network,0.01%,1
AT&T,0.57%,75
AT&T Bell Laboratories,0.07%,9
AT&T Corporation,0.01%,1
AT&T Customer Information Services,0.01%,1
AT&T Foundry,0.01%,1
AT&T Internet Research,0.01%,1
AT&T Laboratories,0.05%,6
AT&T Labs,0.35%,46
AT&T Labs Europe,0.01%,1
AT&T Labs Research,0.04%,5
AT&T Labs--Research,0.01%,1
AT&T Labs-Research,0.05%,6
AT&T Labs.,0.01%,1
AT&T Research,0.04%,5
AT&T Services,0.02%,3
AT&T Shannon Laboratory,0.01%,1
AT&T Tridom,0.01%,1
AT&T Wireless,0.01%,1
"AT&T,",0.01%,1
Athena Associates,0.01%,1
Athlone Institute of Technology,0.01%,1
Athonet,0.02%,2
ATI Technologies,0.01%,1
ATIS,0.01%,1
Atlassian,0.02%,2
Atmel Corporation,0.01%,1
Atoga Systems,0.01%,1
Atos,0.01%,1
Atos Origin,0.01%,1
Atos Research and Innovation,0.01%,1
Atrica,0.01%,1
ATT,0.10%,13
ATT Labs,0.02%,2
ATT Labs Research,0.01%,1
ATT Services,0.01%,1
Attachmate Corporation,0.01%,1
Audinate,0.01%,1
audriga,0.02%,2
AUEB,0.01%,1
Augtera Networks,0.01%,1
August Cellars,0.01%,1
Auriga,0.01%,1
Australian National University.,0.01%,1
Auth0,0.02%,3
auth0.com,0.01%,1
Auth0/Okta,0.01%,1
AuthenTec,0.01%,1
Authentication Metrics,0.01%,1
Authlete,0.01%,1
Author,0.01%,1
Author of previous version,0.01%,1
Autonimica AB,0.01%,1
Autonomica,0.01%,1
Autonomica AB,0.01%,1
Autonomous University of Barcelona,0.01%,1
AV8,0.01%,1
AVA,0.01%,1
AVA Networks,0.01%,1
Avassa,0.01%,1
Avaya,0.21%,28
Avaya Communication,0.01%,1
Avaya Labs,0.02%,2
Avaya Labs Research,0.02%,3
Aventail Corp,0.01%,1
Aventail Corp.,0.01%,1
Aventail Corporation,0.01%,1
Avi Networks,0.01%,1
Avian Communications,0.01%,1
Aviat Networks,0.02%,2
Aviatrix,0.01%,1
Aviatrix Systems,0.01%,1
AVIC China Aero-Polytechnology Establishment,0.01%,1
Avici,0.01%,1
Avici Systems,0.06%,8
Avilution,0.01%,1
Avinci,0.01%,1
Avinta,0.01%,1
Avinta Communications,0.02%,3
Avri Doria,0.01%,1
"Avri Doria, Howard Berkowitz,",0.01%,1
Award Solutions,0.01%,1
AWS,0.07%,9
AWS Security,0.01%,1
AWS Wickr,0.02%,2
AX 	Enterprize,0.02%,2
AX Enterprize,0.02%,2
Axalto,0.01%,1
Axerra Networks,0.02%,3
Axiomatics AB,0.01%,1
Axiowave,0.02%,2
Axiowave Networks,0.02%,3
Axis Communications,0.02%,2
AXON Networks,0.01%,1
Axway,0.04%,5
Ayogo Games,0.01%,1
AYR Networks,0.01%,1
Azaire,0.01%,1
Azaire Networks,0.03%,4
Azuca Systems,0.01%,1
Azuki Systems,0.02%,2
B-STAR,0.01%,1
B. Blakley,0.01%,1
B. Campbell,0.02%,2
B. Haberman,0.01%,1
B. Jouris,0.01%,1
B. LONC,0.01%,1
B. Patel,0.01%,1
B.T.,0.01%,1
BAE Systems,0.02%,3
BAE Systems Advanced Technology,0.01%,1
BAE Systems Advanced Technology Centre,0.01%,1
BAE Systems AI Labs,0.01%,1
BAE Systems ATC,0.01%,1
Baidu,0.03%,4
BaishanCloud,0.01%,1
Bala Rajagopalan,0.01%,1
Ball Aerospace and Technologies Corp.,0.01%,1
Baltimore,0.02%,2
Baltimore Technologies,0.01%,1
"Bangalore, India",0.01%,1
Bangor University,0.02%,2
Bank One Corp,0.01%,1
BankNet,0.01%,1
Bar Ilan University,0.01%,1
Barefoot Networks,0.03%,4
"Barefoot Networks, an Intel company",0.01%,1
"Barefoot Networks, an Intel company",0.01%,1
BARRNet,0.01%,1
Basavaraj Patil,0.02%,2
Base Tecnologia e Sistemas,0.01%,1
BastionZero,0.01%,1
BATC,0.01%,1
Bay,0.01%,1
Bay Microsystems,0.02%,2
Bay Networks,0.19%,25
Bay Networks Architecture Lab,0.01%,1
Bay Networks.,0.01%,1
Bay Networks/Nortel Networks,0.01%,1
BBC,0.01%,1
BBC Monitoring,0.01%,1
BBC R&D,0.01%,1
BBC Research & Development,0.02%,3
BBC Research and Development,0.02%,2
BBIX,0.01%,1
BBN,0.17%,22
BBN Communications,0.01%,1
BBN Corp,0.01%,1
BBN Planet,0.02%,2
BBN Systems and Technologies,0.03%,4
BBN Technologes,0.01%,1
BBN Technologies,0.16%,21
BBN/GTEI,0.01%,1
BBN/NASA Glenn,0.01%,1
BBN/NASA GRC,0.01%,1
BCAM-IKERBASQUE and LAAS-CNRS,0.01%,1
BCBS Michigan,0.02%,2
BCBS of Michigan,0.01%,1
BCI,0.01%,1
BcN ERC,0.01%,1
BCN Systems,0.01%,1
BCQRE,0.01%,1
BEA,0.02%,2
BEA Systems,0.02%,2
Bedework,0.01%,1
Bedework Commercial Services,0.01%,1
Beihang Univ.,0.01%,1
Beihang University,0.01%,1
Beijing Capital Highway Development Group Co.,0.01%,1
Beijing Institute of Technology,0.03%,4
Beijing Internet Institute,0.04%,5
Beijing Jiao Tong University,0.02%,3
Beijing Jiaotong,0.04%,5
Beijing Jiaotong University,0.02%,3
Beijing Jiaotong University,0.33%,44
Beijing Normal University,0.01%,1
Beijing Univ. of P&T,0.01%,1
Beijing Univ. of Posts and Telecom,0.01%,1
Beijing Univ. of Posts and Telecom.,0.02%,3
Beijing University of Post and,0.04%,5
Beijing University of Post and Telecommunication,0.04%,5
Beijing University of Posts,0.01%,1
Beijing University of Posts and,0.14%,18
Beijing University of Posts and Telecommunications,0.05%,7
Beijing University of Posts and Telecommunications,0.31%,41
Beijing University of Posts and Telecommunications.,0.02%,2
Belgacom,0.01%,1
Bell Canada,0.06%,8
Bell Canada.,0.01%,1
Bell Communications Research,0.05%,7
Bell Laboratories,0.06%,8
Bell Laboratories/Columbia U.,0.02%,2
Bell Labs,0.14%,18
Bell Labs Lucent Technologies,0.01%,1
Bell Labs/Alcatel-Lucent,0.02%,2
Bell Labs/Columbia U.,0.03%,4
Bell Labs/Lucent Technologies,0.04%,5
Bell Labs/Microsoft/Columbia,0.02%,3
Bell-Northern Research,0.02%,2
Bellcore,0.11%,15
BellSouth,0.02%,3
Benjie Chen,0.01%,1
Bennish.net,0.01%,1
BENOCS,0.03%,4
Benu Networks,0.02%,2
Beon Solutions,0.01%,1
Beonex,0.01%,1
Berkeley,0.01%,1
Berkeley Software Design,0.02%,2
Berlin Institute of Technology,0.02%,2
Berner Fachhochschule,0.01%,1
Bernhard Collini-Nocker,0.01%,1
Bernie Volz,0.01%,1
Bespoke Engineering,0.01%,1
BeThereBeSquare,0.01%,1
BeThereBeSquare Inc.,0.01%,1
Betrusted,0.01%,1
Beyond Identity,0.01%,1
BFH,0.01%,1
BGP Innovations,0.01%,1
BGPexpert.com,0.01%,1
Bharti Airtel,0.01%,1
Biaoma IT,0.01%,1
Big Switch,0.01%,1
Big Switch Networks,0.02%,2
BIGLOBE,0.01%,1
BigWave IT,0.01%,1
BIHE,0.02%,2
BII,0.01%,1
BII Group Holdings,0.05%,6
Bijt.net,0.01%,1
Bilel Jamoussi,0.02%,2
Binary Firefly,0.01%,1
Biodata Application Security AG,0.01%,1
BioFortis,0.01%,1
Birdstep,0.01%,1
Birdstep Technology ASA,0.01%,1
BISDN,0.01%,1
Bit-way Corporation,0.01%,1
Bit9,0.01%,1
Bitcoin,0.01%,1
BitGo,0.01%,1
BitMovin,0.01%,1
BitRipple,0.01%,1
Bitstream,0.01%,1
BitTorrent,0.02%,2
Bitvise Limited,0.02%,2
Biza.io,0.02%,2
BizMobile,0.01%,1
BJTU,0.02%,3
Black Ops,0.01%,1
Black Storm Networks,0.02%,2
BlackBerry,0.04%,5
BlackBerry Corporation,0.01%,1
BlankSpace,0.01%,1
BlinkMind,0.01%,1
Blissfully Retired,0.01%,1
Blockcast,0.01%,1
Blockchain Commons,0.02%,3
Bloomberg,0.05%,6
Bloomberg L.P.,0.02%,2
Bloomberg LP,0.04%,5
"Bloomberg, L.P.",0.01%,1
Blue Coat Systems,0.04%,5
Blue Cross Blue Shield of Michigan,0.02%,2
Blue Meadow Networking,0.01%,1
Blue Meadow Networks,0.01%,1
Blue Ridge Envisioneering,0.02%,2
Blue Sun,0.01%,1
Bluesocket,0.01%,1
BMC Software,0.02%,3
BME,0.04%,5
BME EET,0.02%,2
BNC,0.01%,1
Boeing,0.06%,8
Boeing Computer Services,0.01%,1
Boeing Corporation,0.01%,1
Boeing EO&T IT,0.01%,1
Boeing Phantom Works,0.03%,4
Boeing Research & Technology,0.03%,4
Boeing Research and Technology,0.01%,1
"Bolt, Beranek and Newman",0.01%,1
Bomgar,0.01%,1
Bond Internet Systems,0.01%,1
Bootix Tech.,0.01%,1
Booz Allen Hamilton,0.07%,9
Bosch Sensortec,0.01%,1
Bosch Telecom,0.01%,1
Bosch.IO,0.01%,1
Boston University,0.03%,4
Boston University and Algorand,0.01%,1
Boulder Software Engineering,0.01%,1
Bourgeois Dilettant,0.01%,1
Bournemouth University,0.01%,1
Bouvet ASA,0.01%,1
Bouygues Telecom,0.02%,2
Bowery Farming,0.01%,1
Bowhead,0.01%,1
BoxnArrow.com,0.01%,1
Bozeman Pass,0.01%,1
Bracket Computing,0.01%,1
Braintrust,0.01%,1
Brandenburg,0.01%,1
Brandenburg Consulting,0.01%,1
Brandenburg InternetWorking,0.01%,1
Brave,0.02%,2
Brave Software,0.03%,4
BreakingPoint Systems,0.01%,1
Bredbandsfylket Troms,0.01%,1
Brian W. Spolarich,0.01%,1
BridgePort Networks,0.01%,1
Bridgewater,0.02%,2
Bridgewater Systems,0.02%,3
Brigham Young University,0.01%,1
Bright House Networks,0.01%,1
Bright Tiger Technologies,0.01%,1
BrightTiger Technologies,0.01%,1
BringYour,0.01%,1
British Broadcasting Corporation,0.02%,3
British Broadcasting Corportation,0.01%,1
British Telcom,0.01%,1
British Telecom,0.09%,12
Brix Networks,0.01%,1
Broadband Forum,0.01%,1
BroadBand Tower,0.01%,1
BroadBandOffice,0.01%,1
Broadcom,0.26%,34
Broadcom Communications,0.01%,1
Broadcom Corp.,0.02%,3
Broadcom Corporation,0.08%,11
Broadcom Limited,0.05%,6
Broadpeak,0.03%,4
BroadSoft,0.01%,1
Broadwing Communications,0.01%,1
Brocade,0.13%,17
Brocade Communication,0.01%,1
Brocade Communications,0.07%,9
Brocade Communications System,0.01%,1
Brocade Communications Systems,0.05%,6
Brocade Networks,0.01%,1
Brocade/ETRI,0.01%,1
Brodia,0.01%,1
Broker Communications,0.01%,1
Bronze Dragon Consulting,0.01%,1
Brooktrout,0.02%,2
Brooktrout Technology,0.03%,4
Brown University,0.02%,2
Brunel University,0.01%,1
Brute Squad Labs,0.01%,1
Bryan Gleeson,0.01%,1
BS. Zhang,0.01%,1
"BSAC, UC Berkeley",0.01%,1
BSI,0.03%,4
BT,0.31%,41
BT & UCL,0.01%,1
BT Group,0.02%,2
BT Infonet,0.01%,1
BT Laboratories,0.01%,1
BT Labs,0.02%,2
BT Plc,0.02%,2
BT Research,0.03%,4
BT Trading Systems,0.01%,1
"BT, UCL",0.02%,2
BTexact,0.01%,1
BTexact Technologies,0.01%,1
BTLABS,0.02%,2
Bucknell University,0.01%,1
Budapest University of Technology and Economics,0.01%,1
Bufferbloat.net,0.01%,1
Bull,0.02%,2
Bull S.A.,0.02%,2
Bull SAS,0.01%,1
Bundesdruckerei,0.01%,1
Bunyip,0.02%,3
Bunyip Information Systems,0.03%,4
BUPT,0.48%,64
BUPT University,0.08%,11
"BUPT, China",0.04%,5
Businesswire,0.01%,1
BUTE,0.04%,5
bw.org,0.01%,1
BWS,0.02%,2
ByteDance,0.08%,10
Bytemobile,0.01%,1
byung Ho Yae,0.01%,1
Byungtak Lee,0.01%,1
C,0.01%,1
C&C Research Labs,0.02%,2
C&W,0.01%,1
C-COR,0.01%,1
C-DAC,0.01%,1
C-DAC Bangalore,0.03%,4
C-DAC Hyderabad,0.01%,1
C-DOT India,0.02%,2
C.,0.01%,1
C. Boucadair,0.01%,1
C. Canales,0.01%,1
C. Feil,0.01%,1
C. Hage Associates,0.01%,1
C. Jacquenet,0.01%,1
C. Janneteau,0.01%,1
C. Jennings,0.01%,1
C. Jones,0.01%,1
C. Monia,0.01%,1
C. Perkins,0.02%,2
C. Politis,0.01%,1
C. Semeria,0.01%,1
C. Wetphal,0.01%,1
C.BaudoinE.bouttier,0.01%,1
C3L/ETSI,0.01%,1
CA Technologies,0.02%,3
Cable & Wireless,0.02%,2
Cable and Wireless,0.01%,1
Cable&Wireless,0.01%,1
CableLabs,0.23%,30
Cabletron,0.01%,1
Cabletron Systems,0.04%,5
Cabletron Systems EMEA,0.01%,1
Cabletron Systems Incorporated,0.04%,5
Cache Flow,0.01%,1
CacheFlow,0.03%,4
CacheWare,0.01%,1
Cadcorp,0.01%,1
Cadia Networks,0.01%,1
CAEIT,0.02%,2
"CAIA, Swinburne University of",0.01%,1
CAICT,0.12%,16
CAIDA,0.01%,1
CAIDA/FhG FOKUS,0.01%,1
Cal Tech,0.01%,1
Calient,0.02%,3
Calient Networks,0.02%,3
California Digital Library,0.04%,5
California Institute of Technology,0.02%,3
California Things,0.01%,1
Calix,0.02%,3
CALLSTATS I/O Oy,0.01%,1
callstats.io,0.01%,1
Calnex Solutions,0.01%,1
Caltech,0.03%,4
Cambridge Greys Limited,0.01%,1
Cambridge Univ.,0.01%,1
Cambridge University,0.01%,1
Camelot,0.01%,1
Campio Communications,0.02%,2
Canada Bell,0.01%,1
Canadian Internet Registration,0.02%,2
Canarie,0.01%,1
Candlestick Networks,0.01%,1
Canola & Jones,0.01%,1
Canon,0.04%,5
Canon CRF,0.04%,5
Canon Research Centre France,0.01%,1
Cantata Technolgy,0.01%,1
Cantata Technology,0.02%,2
CANTV,0.01%,1
CAP GEMINI,0.01%,1
Capital Normal University,0.01%,1
Capital One,0.01%,1
Capital One Financial,0.01%,1
Capital Online,0.01%,1
Capital University of Science and Technology,0.01%,1
Capitalonline,0.01%,1
Capitalonline.,0.01%,1
Cardiff University,0.01%,1
Cariden Technologies,0.01%,1
Carillon Information Security,0.01%,1
Carleton College,0.01%,1
Carleton University,0.02%,3
Carnegie Mellon,0.02%,3
Carnegie Mellon University,0.11%,15
Casa Systems,0.01%,1
Casaba Security,0.01%,1
Cascade,0.01%,1
Cascade Communications Co.,0.01%,1
Cascade Communications Corp.,0.01%,1
Caspian,0.01%,1
Caspian Networks,0.02%,2
Cassidian,0.01%,1
Catalogix,0.02%,2
Catalyst IT Limited,0.01%,1
Catena Networks,0.01%,1
Catholic University of Murcia,0.01%,1
catpipe ApS,0.01%,1
CATR,0.05%,7
Cayman Systems,0.01%,1
Caymas Systems,0.01%,1
CBA/MIT,0.01%,1
CCNU,0.03%,4
CCS,0.01%,1
CCSL-IFRN,0.01%,1
"CCSR, U. of Surrey",0.01%,1
CDAC Bangalore,0.02%,3
CDPD Consortium,0.01%,1
CDT,0.04%,5
CDT-LTU/Marratech AB,0.01%,1
CDTA,0.01%,1
CEA,0.09%,12
CEA LIST,0.06%,8
"CEA, LIST",0.05%,7
CEFRIEL,0.01%,1
CELAR,0.02%,2
Celion,0.01%,1
Celion Networks,0.01%,1
Celox Networks,0.01%,1
CenGen,0.01%,1
Centec,0.02%,2
Centec Networks,0.02%,2
CentecNetworks,0.01%,1
Center,0.01%,1
Center for,0.01%,1
Center for Democracy & Technology,0.01%,1
