Citations,Percentage of authors,Authors
653,0.01%,Mehmet Ersue
651,0.01%,Dan Li
650,0.01%,Congxiao Bao
649,0.01%,"Anoop Ghanwani 
 Yoav Nir"
648,0.01%,Ned Freed
645,0.01%,Prashanth Patil
641,0.01%,Rob Austein
636,0.01%,Martin Stiemerling
631,0.01%,Randall Gellens
630,0.01%,Danny R. McPherson
627,0.01%,Zhibo Hu
624,0.01%,Nicolai Leymann
619,0.01%,"George G. Michaelson 
 Kazunori Fujiwara"
617,0.01%,Brian Weis
616,0.01%,Wes Hardaker
612,0.01%,"Chuck Lever 
 Robert Sparks"
611,0.01%,Cathy Zhou
610,0.01%,Barry Leiba
609,0.01%,Dapeng Liu
607,0.01%,Elwyn B. Davies
605,0.01%,"Graham Klyne 
 Jen Linkova"
603,0.01%,David Harrington
602,0.01%,"Rob Shakir 
 Zach Shelby"
600,0.01%,Shwetha Bhandari
598,0.01%,Haoyu Song
595,0.01%,John R. Levine
594,0.01%,Paul Jones
590,0.01%,"Aihua Guo 
 Jim Guichard"
589,0.01%,"Jason Livingood 
 Paul Wouters"
588,0.01%,Klaus Hartke
587,0.01%,Frank Brockners
586,0.01%,Robert T. Braden
585,0.01%,Sam Hartman
583,0.01%,Gerald Ash
582,0.01%,Simon Perreault
580,0.01%,Rachel Huang
575,0.01%,Mark Townsley
574,0.01%,Éric Vyncke
570,0.01%,Christian Amsüss
567,0.01%,Thomas C. Schmidt
566,0.01%,"John Scudder 
 Yoshihiro Ohba"
564,0.01%,"Andrew Sullivan 
 Balazs Varga"
561,0.01%,"Senthil Sivakumar 
 Ólafur Guðmundsson"
560,0.01%,Bo Burman
558,0.01%,Philip Eardley
557,0.01%,Sriganesh Kini
555,0.01%,fangwei hu
554,0.02%,"Basavaraj Patil 
 Chris Boulton 
 Samer Salam"
549,0.03%,"Alexandre Petrescu 
 Curtis Villamizar 
 Flemming Andreasen 
 Gabriele Galimberti 
 Michael H. Behringer"
547,0.02%,"James Gould 
 Jan Medved 
 XiaoDong Lee"
545,0.01%,"Benjamin M. Schwartz 
 Tony Hansen"
544,0.02%,"Ethan Blanton 
 Lei Liu 
 Vijay K. Gurbani"
543,0.01%,János Farkas
542,0.01%,"Ina Minei 
 Liang Geng"
540,0.01%,"Chris Bowers 
 Xiao Min"
539,0.01%,Kuntal Chowdhury
536,0.02%,"Bernie Hoeneisen 
 Greg M. Bernstein 
 Hitoshi Asaeda"
535,0.01%,Alexander Zimmermann
534,0.01%,"Enke Chen 
 Kathleen Moriarty"
533,0.01%,"Akbar Rahman 
 Peng Liu"
532,0.02%,"Francois Audet 
 Ryuji Wakikawa 
 Tissa Senevirathne"
531,0.01%,Teemu Savolainen
528,0.01%,Alper E. Yegin
525,0.01%,Wen Lin
524,0.01%,"Haibo Wang 
 Shane Amante"
523,0.01%,"Fabio Maino 
 Pierrick Seite"
520,0.01%,"Alan Clark 
 Keith Moore"
518,0.01%,Alia Atlas
517,0.01%,Pierre Francois
516,0.02%,"Allison Mankin 
 Esko Dijk 
 Gaurav Dawra"
515,0.01%,Hao Weiguo
514,0.01%,Yuji Kamite
510,0.01%,Mark Allman
509,0.01%,Vincent Roca
508,0.01%,Ayan Banerjee
507,0.01%,"Matthias Wählisch 
 Stephan Wenger"
506,0.01%,Darrel Lewis
503,0.02%,"Brian Campbell 
 Mahesh Sivakumar 
 Paul Aitken"
501,0.01%,"Bill Fenner (ˢˣˠ) 
 Nancy Cam-Winget"
499,0.01%,Mohit Sethi
498,0.01%,Jiankang Yao
497,0.01%,"Eric Voit 
 Lianshu Zheng"
494,0.01%,Scott O. Bradner
492,0.01%,Ludwig Seitz
491,0.01%,"Alain Durand 
 Timothy Winters"
489,0.01%,Steven Waldbusser
488,0.01%,"Kenneth Murchison 
 Ning So"
486,0.01%,Niels ten Oever
484,0.01%,Bert Wijnen
483,0.01%,Shuanglong Chen
479,0.01%,William A. Simpson
476,0.01%,Greg Shepherd
473,0.01%,Vijay Devarapalli
471,0.01%,Yongqing Zhu
470,0.01%,"Michael Scharf 
 Dr. Steve E. Deering"
468,0.01%,Gunter Van de Velde
467,0.01%,Randy Presuhn
465,0.01%,Sara Dickinson
463,0.01%,Paul A. Vixie
461,0.01%,Rikard Höglund
460,0.01%,Ted Hardie
459,0.01%,"James Kempf 
 Mike Bishop"
458,0.01%,Alvaro Retana
457,0.01%,Ana Minaburo
455,0.01%,"Olaf Kolkman 
 Reza Rokui"
452,0.02%,"Adam Simpson 
 Ira McDonald 
 Philip Matthews"
451,0.01%,Daniel Kahn Gillmor
450,0.01%,"Deepak Kumar 
 Jingrong Xie"
446,0.01%,"Paul Kyzivat 
 Robert Wilton"
445,0.01%,"Erik Guttman 
 John Strassner"
444,0.01%,Patrice Brissette
443,0.01%,"Valery Smyslov 
 Zhen Cao"
441,0.01%,Ruediger Geib
437,0.01%,Pekka Nikander
436,0.01%,Pyda Srisuresh
435,0.03%,"Andreas Bergstrom 
 Panos Kampanakis 
 Ruediger Kunze 
 Zitao Wang"
434,0.01%,Soohong Daniel Park
433,0.02%,"Hooman Bidgoli 
 Jon Crowcroft 
 Thomas Morin"
430,0.01%,Lee Howard
429,0.01%,"Glenn Parsons 
 Xihua Fu"
427,0.03%,"Albert Cabellos-Aparicio 
 Naiming Shen 
 Thomas Hardjono 
 Yunbin Xu"
426,0.01%,"Juan-Carlos Zúñiga 
 Ken Carlberg"
425,0.01%,Andrew Yourtchenko
424,0.01%,Ulrich Herberg
423,0.01%,Duane Wessels
421,0.02%,"John Jason Brzozowski 
 Julien Laganier 
 Wassim Haddad"
420,0.01%,Justin Richer
418,0.01%,Ramon Casellas
415,0.01%,Victor Kuarsingh
414,0.01%,Rajeev Koodli
413,0.01%,Daniel Bernier
412,0.01%,Leslie Daigle
411,0.01%,Jeffrey Mogul
410,0.01%,Ning Kong
409,0.01%,Kenji Kumaki
408,0.01%,"Bhumip Khasnabish 
 Dan Harkins"
407,0.01%,Mauro Cociglio
405,0.01%,Ahmed Bashandy
404,0.03%,"Michael Menth 
 Subir Das 
 Yanhe Fan 
 Zongpeng Du"
402,0.02%,"Elisa Bellagamba 
 Gabor Bajko 
 Max Pritikin"
401,0.01%,Qiufang Ma
400,0.01%,Emil Ivov
399,0.01%,"Ray Bellis 
 Rex Fernando"
398,0.02%,"Nat Sakimura 
 Ramki Krishnan 
 Xia Chen"
397,0.01%,Nurit Sprecher
396,0.01%,Vince Fuller
395,0.02%,"Lizhong Jin 
 Mehmet Toy 
 Patrik Fältström"
394,0.02%,"Arkadiy Gulko 
 Chris Wendt 
 Joe Hildebrand"
393,0.01%,avri doria
392,0.01%,Paul J. Leach
391,0.01%,Yao Liu
390,0.01%,"Henrik Nielsen 
 Jake Holland"
388,0.01%,Hesham Soliman
387,0.01%,Professor Eric B. Hall
385,0.01%,Qiaobing Xie
384,0.01%,Blake C. Ramsdell
382,0.01%,Eric Gray
379,0.02%,"Jacni Qin 
 Thomas Watteyne 
 Zaheduzzaman Sarker"
378,0.01%,"Roland Jesske 
 Tero Kivinen"
374,0.01%,Wojciech Dec
373,0.01%,Thomas N. Hastings
372,0.01%,David R. Oran
371,0.03%,"Chris Donley 
 Edward Crabbe 
 Francois Clad 
 Tomonori Takeda"
369,0.01%,"Dhananjaya Rao 
 Julien Meuric"
368,0.01%,"Francis Dupont 
 Richard Roberts"
367,0.01%,"Dieter Beller 
 Rémi Després"
366,0.03%,"Edward J. Birrane 
 Maria Napierala 
 Seisho Yasukawa 
 Stefano Salsano"
365,0.02%,"Samita Chakrabarti 
 Wesley George 
 Yuanlong Jiang"
364,0.01%,"Dave McDysan 
 Mykyta Yevstifeyev"
363,0.02%,"Dirk Kutscher 
 Georgios Karagiannis 
 Rafael Marin-Lopez"
362,0.01%,"Mingwei Xu 
 Prodosh Mohapatra"
361,0.02%,"Adam Langley 
 Lars-Erik Jonsson 
 Lucas Pardue"
360,0.01%,Lixia Zhang
359,0.02%,"Emmanuel Baccelli 
 Jana Iyengar 
 Jon Shallow"
358,0.01%,David B. Nelson
356,0.01%,"Florin Balus 
 Jonathan Hui"
355,0.02%,"Frederic JOUNAY 
 Martin Vigoureux 
 Matt Mathis"
354,0.01%,Christian Hopps
353,0.02%,"Dirk Von Hugo 
 Roy Arends 
 Vidya Narayanan"
351,0.01%,"Tim Berners-Lee 
 Victor Pascual"
350,0.01%,Richard Li
349,0.02%,"Di Ma 
 Kostas Pentikousis 
 Michael Luby"
346,0.01%,"Jukka Manner 
 Yan Zhuang"
344,0.01%,Iljitsch van Beijnum
343,0.02%,"Aki Niemi 
 Jun Bi 
 Park Jung-Soo"
342,0.01%,Avi Lior
341,0.01%,"Pablo Camarillo 
 Ram R"
339,0.01%,"Jeff Hodges 
 Kotikalapudi Sriram"
338,0.01%,"Mark Wahl 
 Tom Henderson"
337,0.01%,Lakshminath R. Dondeti
336,0.01%,"Matt Lepinski 
 Sebastian Kiesel"
335,0.01%,"Ingemar Johansson 
 Stefan Santesson"
334,0.02%,"Dale R. Worley 
 Scott Rose 
 Torsten Lodderstedt"
333,0.02%,"IAB 
 Jianjie You 
 Martin J. Dürst"
332,0.02%,"David Waltermire 
 John Kaippallimalil 
 Mike Ounsworth"
331,0.01%,Guangying Zheng
329,0.02%,"Adam Wiethuechter 
 Morteza Ansari 
 Santosh Pallagatti"
328,0.01%,Steffen Fries
327,0.03%,"Cyril Margaria 
 Ghyslain Pelletier 
 John Leddy 
 Xavier Vilajosana"
326,0.01%,Bruce Davie
323,0.01%,Dr. Jeff D. Case
322,0.01%,"Alexander Mayrhofer 
 Barbara Stark"
321,0.01%,"Dr. Glenn Mansfield Keeni 
 Hemant Singh"
320,0.01%,"Gert Grammel 
 Mike Eisler"
319,0.03%,"Mark Baugher 
 Peter Koch 
 Sean Shen 
 Thomas Dietz"
318,0.02%,"Andrew H. Smith 
 Rute C. Sofia 
 Yong-Geun Hong"
317,0.02%,"Alissa Cooper 
 Hosnieh Rafiee 
 Steve Hanna"
316,0.01%,Mikael Abrahamsson
315,0.01%,"Deng Lingli 
 Stuart W. Card"
314,0.01%,Qing Yang
313,0.01%,"Anthony Nadalin 
 Shumon Huque"
312,0.02%,"Bob Stewart 
 Erik Wilde 
 Ladislav Lhotka"
311,0.02%,"Brian Sipos 
 Santosh Esale 
 Younghan Kim"
310,0.03%,"Claudio Desanti 
 Gregory M. Lebovitz 
 John Elwell 
 Tetsuya Murakami"
309,0.01%,"Hisham Khartabil 
 Petr Lapukhov"
308,0.01%,Dean Cheng
306,0.01%,Nobo Akiya
305,0.01%,"Jacob Palme 
 Wes Beebee"
304,0.03%,"Diego Caviglia 
 Kiran Makhijani 
 Qi Sun 
 Tim Howes"
303,0.02%,"Andrew Dolganow 
 Greg Daley 
 Victor Moreno"
302,0.02%,"Mo Zanaty 
 Qilei Wang 
 Udayasree Palle"
301,0.03%,"Dean Bogdanović 
 Heather Flanagan 
 Ran Pang 
 Yiqun Cai"
300,0.02%,"Alex Huang Feng 
 David Allan 
 Sandeep Kumar"
299,0.03%,"Andrew Hutton 
 Kepeng Li 
 Michelle Cotton 
 Pete Resnick"
298,0.01%,"Chao Zhou 
 Sean Leonard"
297,0.01%,"Nalini Elkins 
 Tim Bruijnzeels"
296,0.03%,"Eduard V 
 Mahendra Singh Negi 
 Mališa Vučinić 
 Scott Fluhrer 
 Shahid Raza"
295,0.01%,"Pedro Martinez-Julia 
 Sudha Madhavi"
294,0.01%,Paulo Mendes
293,0.02%,"Lorenzo Colitti 
 Mario Loffredo 
 Paolo Lucente"
292,0.04%,"Ben Campbell 
 Ing-Wher (Helen) Chen 
 Jon Hudson 
 Lawrence W. Conroy 
 Norman Finn 
 Orit Levin"
291,0.05%,"Anish Peter 
 Carl Williams 
 Darren Dukes 
 Iftekhar Hussain 
 Laurent Ciavaglia 
 Stéphane Bortzmeyer 
 Thomas Haynes"
290,0.01%,"Huub van Helvoort 
 Shunsuke Homma"
289,0.01%,"Arifumi Matsumoto 
 Keith Drage"
288,0.03%,"Kai Gao 
 Lenny Giuliano 
 Mark Stapp 
 Mengxiao Chen 
 Dr. Robert C. Moore"
287,0.02%,"Charlie Kaufman 
 Gregory Vaudreuil 
 Robert G. Herriot"
286,0.03%,"Alfred Hoenes 
 Gang Yan 
 Lloyd Wood 
 Rolf Winter 
 Silvano Gai"
285,0.01%,"Hao Zhou 
 Jim Bound"
284,0.03%,"Henrik Levkowetz 
 Kausik Majumdar 
 Michael Douglass 
 Muhammad Durrani 
 Stéphane H. Maes"
283,0.01%,"Merike Kaeo 
 Sharon Chisholm"
282,0.02%,"Attila Takacs 
 Rishabh Parekh 
 Ronald Henry Tse"
281,0.03%,"Dan Frost 
 Giles Heron 
 Mark P. Andrews 
 Markus Isomaki 
 Padma Pillay-Esnault"
280,0.01%,"Albert Tian 
 Jamal Hadi Salim"
279,0.02%,"Enrico Marocco 
 Jonathan Lang 
 Larry Zhu"
278,0.03%,"Andrei Gurtov 
 Larry Kreeger 
 Petri Jokela 
 Volker Hilt"
277,0.02%,"Bruce Lowekamp 
 Shawn Zandi 
 Terry Manderson"
276,0.01%,"Cameron Byrne 
 Yu Fu"
275,0.01%,"Abhay Roy 
 Telemaco Melia"
274,0.03%,"Ben Niven-Jenkins 
 Carl Wallace 
 Liuyan Han 
 Wei Pan"
272,0.02%,"Gerardo Giaretta 
 Liyan Gong 
 Venkatesan Mahalingam"
271,0.01%,"Pierre Pfister 
 高军安"
270,0.03%,"Christian Vogt 
 David Zelig 
 Jeong-dong Ryoo 
 Marco Liebsch"
269,0.02%,"Dharini Hiremagalur 
 Michael H. Mealling 
 Ping Pan"
268,0.01%,"Erik Nygren 
 Neil Jenkins"
267,0.02%,"Diego Lopez 
 Jingxuan Zhang 
 Yaakov (J) Stein"
266,0.03%,"Avshalom Houri 
 Brendan Moran 
 Robert Cole 
 Vengada Prasad Govindan"
265,0.02%,"Damien Saucez 
 Eric Mannie 
 Fei Zhang"
263,0.03%,"JinHyeock Choi 
 Nick Sullivan 
 Nitin Bahadur 
 S Moonesamy 
 Tony Finch"
262,0.02%,"Jakob Schlyter 
 Steve Kille 
 Van Jacobson"
261,0.04%,"Christian Groves 
 Colby Barth 
 Mark C. Smith 
 Robert Cole 
 Sabine Randriamasy 
 Sergio Garcia Murillo"
260,0.03%,"Andrew Mortensen 
 David Binet 
 Dick Hardt 
 Raymond Zhang 
 Richard Scheffenegger"
259,0.03%,"Aamer Akhter 
 Arnt Gulbrandsen 
 Melinda Shore 
 Yaacov Weingarten 
 Yunan Gu"
258,0.01%,Koen De Schepper
257,0.01%,Jonathan Hardwick
256,0.02%,"Jim Gettys 
 Lorenzo Miniero 
 Robert Varga"
255,0.01%,"Anders Brandt 
 Kishore Tiruveedhula"
254,0.03%,"Atsushi Kobayashi 
 Bert Greevenbosch 
 Leo Vegoda 
 Tomohiro Otani"
253,0.02%,"Pete McCann 
 Rifaat Shekh-Yusef 
 Swadesh Agrawal"
252,0.03%,"Alexander Pelov 
 Hidetoshi Yokota 
 John Gray 
 Thierry Ernst"
251,0.05%,"Chittimaneni Kk 
 Gunnar Hellstrom 
 Dr. Juha Heinanen 
 Robert Cragie 
 Stefan Winter 
 Stephen L. Casner 
 Tom Jones 
 Yang Shi"
250,0.01%,"Martin Horneffer 
 Ying Cheng"
249,0.01%,"James M. Snell 
 Ondřej Surý"
248,0.03%,"Daniel Petrie 
 Jong-Hyouk Lee 
 Kim Kinnear 
 Myung-Ki Shin"
247,0.01%,"Magnus Nyström 
 Simon Pietro Romano"
246,0.01%,Syam Madanapalli
245,0.04%,"Gary S. Malkin 
 Giovanni Martinelli 
 Hongjun Zhai 
 Mark Crispin 
 Mustapha Aissaoui 
 Takuya Miyasaka"
244,0.01%,"David Schwartz 
 Tim J. Melanchuk"
243,0.01%,"Mike Shand 
 Thomas Schierl"
242,0.01%,"Juliusz Chroboczek 
 Orie Steele"
241,0.02%,"Andrew Stone 
 John Vollbrecht 
 Markus Stenberg"
240,0.02%,"Matthew A. Miller 
 Nick Buraglio 
 Richard Woundy"
239,0.04%,"Bhatti Sn 
 Brian Adamson 
 Han Li 
 Hariharan Ananthakrishnan 
 Jinwei Xia 
 Steve Donovan"
238,0.04%,"Dirk Steinberg 
 Evangelos Haleplidis 
 George Tsirtsis 
 Pierre Levis 
 Robert Hancock 
 Yang Zhao"
237,0.01%,"Arun Viswanathan 
 Len Ciavattone"
236,0.02%,"George Gross 
 Hang Shi 
 Tom Hiller"
235,0.03%,"Amit Dass 
 David Mitton 
 Mark C. Smith 
 Massimo Nilo 
 Orly Nicklass"
234,0.02%,"Anwar A. Siddiqui 
 Chris M. Lonvick 
 Erik Wahlstroem"
233,0.03%,"Marc Lasserre 
 Martin Dolly 
 Scott Poretsky 
 Shaowen Ma 
 Tim Polk"
232,0.01%,Kristofer Sandlund
231,0.01%,"Edward Lewis 
 Tom Pusateri"
230,0.02%,"Cleveland Mickles 
 Gerhard Muenz 
 Robin Iddon"
229,0.03%,"Kwok Chan 
 Vina Ermagan 
 Yihao Jia 
 Zehn Cao"
228,0.02%,"Lei Wang 
 Maoke Chen 
 Rajiv Papneja"
227,0.05%,"Anthony Chan 
 Derek M. Yeung 
 Ivan Arce 
 Dr. Nathaniel S. Borenstein 
 Nicolas Montavont 
 Roque Gagliano 
 Xiaoming Fu"
226,0.02%,"Balázs Lengyel 
 Cedric Aoun 
 Markku Kojo"
225,0.05%,"Bharat Joshi 
 Guillermo Gont 
 Jim Reid 
 John Dickinson 
 Miika Komu 
 Sanjay Mishra 
 Willem Toorop"
224,0.01%,"Joe Clarke 
 Nan Wu"
223,0.03%,"Annabelle Backman 
 Christopher Bucci 
 Nevil Brownlee 
 Ruiquan Jing"
